Date;Heure;Température extérieure (°C);Température intérieure actuelle (°C);Température cible souhaitée (°C);Consommation énergétique (kWh);Statut de l'occupation (binaire);Adresse;Code Postal;Type d'énergie
2023-01-03;05:00:00;22.5;11.1;12;0.35;0;Address 54;54050;Electricity
2023-01-03;06:00:00;7.6;22.2;22;1.61;1;Address 55;80227;Solar
2023-01-03;07:00:00;24.0;21.7;22;1.58;1;Address 56;13874;Solar
2023-01-03;08:00:00;19.4;22.7;22;2.4;1;Address 57;51484;Electricity
2023-01-03;09:00:00;27.3;21.4;22;1.95;1;Address 58;96358;Electricity
2023-01-03;10:00:00;12.0;12.2;12;0.41;0;Address 59;62526;Electricity
2023-01-03;11:00:00;-4.5;21.1;22;2.51;1;Address 60;75357;Electricity
2023-01-03;12:00:00;1.5;12.2;12;0.19;0;Address 61;56326;Electricity
2023-01-03;13:00:00;1.5;21.9;22;2.12;1;Address 62;51631;Solar
2023-01-03;14:00:00;18.2;12.2;12;0.2;0;Address 63;85617;Electricity
2023-01-03;15:00:00;25.3;12.3;12;0.49;0;Address 64;17094;Electricity
2023-01-03;16:00:00;1.6;12.4;12;0.48;0;Address 65;73245;Solar
2023-01-03;17:00:00;18.6;10.9;12;0.42;0;Address 66;12128;Gas
2023-01-03;18:00:00;23.7;21.9;22;2.85;1;Address 67;22680;Gas
2023-01-03;19:00:00;18.5;11.6;12;0.25;0;Address 68;25522;Gas
2023-01-03;20:00:00;-3.6;12.2;12;0.33;0;Address 69;50748;Electricity
2023-01-03;21:00:00;1.1;10.9;12;0.45;0;Address 70;83302;Gas
2023-01-03;22:00:00;28.9;10.8;12;0.21;0;Address 71;89123;Gas
2023-01-03;23:00:00;7.6;22.7;22;2.92;1;Address 72;18861;Gas
2023-01-04;00:00:00;11.3;22.5;22;2.03;1;Address 73;41480;Solar
2023-01-04;01:00:00;27.0;12.1;12;0.25;0;Address 74;68241;Gas
2023-01-04;02:00:00;6.6;12.3;12;0.32;0;Address 75;65187;Electricity
2023-01-04;03:00:00;15.0;12.5;12;0.41;0;Address 76;59226;Gas
2023-01-04;04:00:00;27.8;21.5;22;1.8;1;Address 77;85675;Gas
2023-01-04;05:00:00;20.9;10.9;12;0.36;0;Address 78;27909;Solar
2023-01-04;06:00:00;28.3;21.4;22;2.93;1;Address 79;78604;Solar
2023-01-04;07:00:00;13.9;10.3;12;0.13;0;Address 80;62477;Solar
2023-01-04;08:00:00;25.7;22.2;22;1.96;1;Address 81;89910;Electricity
2023-01-04;09:00:00;19.8;12.4;12;0.21;0;Address 82;34822;Electricity
2023-01-04;10:00:00;8.7;11.5;12;0.23;0;Address 83;16958;Electricity
2023-01-04;11:00:00;2.4;10.5;12;0.1;0;Address 84;78336;Gas
2023-01-04;12:00:00;22.7;10.8;12;0.22;0;Address 85;76854;Electricity
2023-01-04;13:00:00;15.0;21.8;22;1.59;1;Address 86;35910;Electricity
2023-01-04;14:00:00;6.6;12.6;12;0.38;0;Address 87;15148;Gas
2023-01-04;15:00:00;25.0;22.3;22;1.87;1;Address 88;80769;Solar
2023-01-04;16:00:00;14.1;11.8;12;0.4;0;Address 89;87900;Gas
2023-01-04;17:00:00;12.2;10.5;12;0.4;0;Address 90;93820;Gas
2023-01-04;18:00:00;17.8;11.0;12;0.22;0;Address 91;18990;Solar
2023-01-04;19:00:00;7.5;12.7;12;0.14;0;Address 92;80015;Electricity
2023-01-04;20:00:00;11.3;22.6;22;2.93;1;Address 93;52866;Gas
2023-01-04;21:00:00;24.9;22.3;22;2.84;1;Address 94;68779;Gas
2023-01-04;22:00:00;-5.0;11.7;12;0.23;0;Address 95;25957;Gas
2023-01-04;23:00:00;5.0;12.1;12;0.28;0;Address 96;32339;Solar
2023-01-05;00:00:00;21.2;21.8;22;1.83;1;Address 97;21799;Solar
2023-01-05;01:00:00;7.8;11.1;12;0.15;0;Address 98;96678;Solar
2023-01-05;02:00:00;20.1;12.1;12;0.43;0;Address 99;92564;Electricity
2023-01-05;03:00:00;-0.1;21.2;22;1.91;1;Address 100;77583;Electricity
2023-01-05;04:00:00;7.3;21.7;22;2.62;1;Address 101;69051;Gas
2023-01-05;05:00:00;17.1;11.8;12;0.45;0;Address 102;65486;Solar
2023-01-05;06:00:00;16.5;10.6;12;0.28;0;Address 103;24726;Electricity
2023-01-05;07:00:00;20.3;22.2;22;2.27;1;Address 104;29165;Electricity
2023-01-05;08:00:00;11.5;10.9;12;0.27;0;Address 105;14448;Electricity
2023-01-05;09:00:00;24.7;21.1;22;1.87;1;Address 106;18845;Solar
2023-01-05;10:00:00;5.2;22.6;22;2.38;1;Address 107;78732;Solar
2023-01-05;11:00:00;25.5;11.3;12;0.22;0;Address 108;46037;Electricity
2023-01-05;12:00:00;10.5;21.8;22;2.9;1;Address 109;27966;Gas
2023-01-05;13:00:00;15.0;10.8;12;0.23;0;Address 110;85310;Gas
2023-01-05;14:00:00;25.3;12.2;12;0.46;0;Address 111;57383;Gas
2023-01-05;15:00:00;-0.7;11.7;12;0.18;0;Address 112;21643;Gas
2023-01-05;16:00:00;24.1;11.6;12;0.38;0;Address 113;46368;Solar
2023-01-05;17:00:00;18.5;10.8;12;0.31;0;Address 114;71892;Solar
2023-01-05;18:00:00;-2.0;22.9;22;1.8;1;Address 115;75952;Electricity
2023-01-05;19:00:00;7.1;11.6;12;0.49;0;Address 116;63972;Electricity
2023-01-05;20:00:00;21.0;21.5;22;2.51;1;Address 117;44382;Electricity
2023-01-05;21:00:00;5.1;11.3;12;0.4;0;Address 118;17565;Solar
2023-01-05;22:00:00;24.7;10.1;12;0.18;0;Address 119;76564;Electricity
2023-01-05;23:00:00;25.3;22.2;22;2.01;1;Address 120;30056;Electricity
2023-01-06;00:00:00;26.3;21.1;22;2.84;1;Address 121;40549;Electricity
2023-01-06;01:00:00;25.9;12.9;12;0.3;0;Address 122;21215;Electricity
2023-01-06;02:00:00;11.7;12.9;12;0.33;0;Address 123;90920;Electricity
2023-01-06;03:00:00;6.7;10.1;12;0.21;0;Address 124;51756;Solar
2023-01-06;04:00:00;18.4;21.6;22;2.22;1;Address 125;53652;Electricity
2023-01-06;05:00:00;12.9;22.8;22;1.52;1;Address 126;26798;Gas
2023-01-06;06:00:00;4.2;11.6;12;0.49;0;Address 127;89157;Electricity
2023-01-06;07:00:00;27.3;21.1;22;2.61;1;Address 128;84889;Electricity
2023-01-06;08:00:00;16.8;11.3;12;0.36;0;Address 129;54331;Solar
2023-01-06;09:00:00;24.7;11.5;12;0.21;0;Address 130;88113;Gas
2023-01-06;10:00:00;-2.2;22.0;22;1.99;1;Address 131;67201;Electricity
2023-01-06;11:00:00;10.8;10.5;12;0.32;0;Address 132;53213;Electricity
2023-01-06;12:00:00;26.7;12.7;12;0.18;0;Address 133;77791;Gas
2023-01-06;13:00:00;13.0;12.6;12;0.26;0;Address 134;14645;Solar
2023-01-06;14:00:00;18.3;11.3;12;0.32;0;Address 135;91487;Gas
2023-01-06;15:00:00;-2.9;11.4;12;0.29;0;Address 136;79091;Solar
2023-01-06;16:00:00;23.0;10.8;12;0.21;0;Address 137;77587;Solar
2023-01-06;17:00:00;20.6;22.5;22;2.36;1;Address 138;23538;Solar
2023-01-06;18:00:00;23.8;21.1;22;2.3;1;Address 139;44021;Solar
2023-01-06;19:00:00;23.3;22.3;22;1.98;1;Address 140;42060;Gas
2023-01-06;20:00:00;20.7;11.6;12;0.41;0;Address 141;83618;Gas
2023-01-06;21:00:00;8.0;22.6;22;1.51;1;Address 142;46434;Solar
2023-01-06;22:00:00;11.5;22.4;22;2.63;1;Address 143;65017;Solar
2023-01-06;23:00:00;20.4;10.8;12;0.31;0;Address 144;81245;Solar
2023-01-07;00:00:00;26.0;11.5;12;0.32;0;Address 145;37563;Gas
2023-01-07;01:00:00;8.1;21.4;22;2.23;1;Address 146;45493;Electricity
2023-01-07;02:00:00;15.7;21.8;22;2.01;1;Address 147;60633;Solar
2023-01-07;03:00:00;23.2;23.0;22;1.59;1;Address 148;19245;Electricity
2023-01-07;04:00:00;8.4;10.4;12;0.29;0;Address 149;79786;Electricity
2023-01-07;05:00:00;3.2;22.2;22;2.43;1;Address 150;28051;Electricity
2023-01-07;06:00:00;11.4;10.2;12;0.34;0;Address 151;88513;Solar
2023-01-07;07:00:00;20.5;12.8;12;0.14;0;Address 152;99205;Solar
2023-01-07;08:00:00;22.4;11.9;12;0.29;0;Address 153;65798;Solar
2023-01-07;09:00:00;11.6;22.5;22;1.85;1;Address 154;82582;Gas
2023-01-07;10:00:00;20.9;12.1;12;0.37;0;Address 155;84776;Gas
2023-01-07;11:00:00;21.8;22.9;22;2.27;1;Address 156;41862;Electricity
2023-01-07;12:00:00;21.2;22.2;22;1.95;1;Address 157;29158;Gas
2023-01-07;13:00:00;20.3;10.9;12;0.44;0;Address 158;85303;Electricity
2023-01-07;14:00:00;26.7;21.8;22;1.8;1;Address 159;28842;Gas
2023-01-07;15:00:00;28.3;22.9;22;2.88;1;Address 160;29120;Electricity
2023-01-07;16:00:00;7.6;11.6;12;0.46;0;Address 161;57073;Solar
2023-01-07;17:00:00;8.0;22.2;22;2.58;1;Address 162;41921;Solar
2023-01-07;18:00:00;27.0;22.9;22;1.63;1;Address 163;32546;Solar
2023-01-07;19:00:00;12.5;21.7;22;2.93;1;Address 164;55491;Solar
2023-01-07;20:00:00;19.4;10.0;12;0.25;0;Address 165;18411;Gas
2023-01-07;21:00:00;21.8;21.6;22;1.54;1;Address 166;39754;Electricity
2023-01-07;22:00:00;13.2;11.9;12;0.36;0;Address 167;82075;Electricity
2023-01-07;23:00:00;19.1;21.4;22;2.81;1;Address 168;45315;Solar
2023-01-08;00:00:00;2.2;22.0;22;1.6;1;Address 169;32525;Solar
2023-01-08;01:00:00;-3.1;22.2;22;2.21;1;Address 170;49243;Gas
2023-01-08;02:00:00;15.5;10.6;12;0.13;0;Address 171;80981;Gas
2023-01-08;03:00:00;10.2;11.5;12;0.11;0;Address 172;74723;Gas
2023-01-08;04:00:00;7.9;10.8;12;0.41;0;Address 173;50456;Gas
2023-01-08;05:00:00;1.1;11.2;12;0.19;0;Address 174;88019;Gas
2023-01-08;06:00:00;17.1;10.6;12;0.13;0;Address 175;66375;Solar
2023-01-08;07:00:00;15.4;22.4;22;2.88;1;Address 176;87914;Solar
2023-01-08;08:00:00;9.1;21.8;22;2.13;1;Address 177;20419;Gas
2023-01-08;09:00:00;18.6;21.9;22;1.89;1;Address 178;93785;Gas
2023-01-08;10:00:00;26.0;21.6;22;2.17;1;Address 179;87011;Gas
2023-01-08;11:00:00;12.8;11.3;12;0.32;0;Address 180;21271;Electricity
2023-01-08;12:00:00;21.1;22.1;22;3.0;1;Address 181;14675;Electricity
2023-01-08;13:00:00;-3.5;12.6;12;0.29;0;Address 182;67309;Solar
2023-01-08;14:00:00;24.4;12.8;12;0.34;0;Address 183;38623;Electricity
2023-01-08;15:00:00;27.9;11.1;12;0.21;0;Address 184;37612;Solar
2023-01-08;16:00:00;11.5;10.4;12;0.49;0;Address 185;82888;Electricity
2023-01-08;17:00:00;22.9;22.5;22;2.15;1;Address 186;68687;Gas
2023-01-08;18:00:00;19.1;10.7;12;0.37;0;Address 187;87596;Electricity
2023-01-08;19:00:00;25.3;22.1;22;1.94;1;Address 188;48719;Gas
2023-01-08;20:00:00;-3.0;12.1;12;0.47;0;Address 189;47056;Electricity
2023-01-08;21:00:00;-4.3;21.6;22;2.0;1;Address 190;61012;Electricity
2023-01-08;22:00:00;5.3;11.8;12;0.46;0;Address 191;39224;Solar
2023-01-08;23:00:00;5.3;10.3;12;0.37;0;Address 192;97835;Electricity
2023-01-09;00:00:00;10.9;10.4;12;0.2;0;Address 193;78665;Gas
2023-01-09;01:00:00;24.8;10.3;12;0.25;0;Address 194;92800;Electricity
2023-01-09;02:00:00;-1.8;22.1;22;1.53;1;Address 195;80256;Electricity
2023-01-09;03:00:00;3.4;21.9;22;1.79;1;Address 196;92212;Solar
2023-01-09;04:00:00;-3.6;12.5;12;0.48;0;Address 197;93136;Electricity
2023-01-09;05:00:00;27.3;12.1;12;0.23;0;Address 198;27289;Gas
2023-01-09;06:00:00;23.6;13.0;12;0.14;0;Address 199;31950;Solar
2023-01-09;07:00:00;15.8;11.7;12;0.12;0;Address 200;17188;Solar
2023-01-09;08:00:00;8.3;22.8;22;1.53;1;Address 201;93889;Gas
2023-01-09;09:00:00;13.1;21.8;22;2.09;1;Address 202;53418;Solar
2023-01-09;10:00:00;27.8;12.6;12;0.26;0;Address 203;41360;Gas
2023-01-09;11:00:00;-3.2;21.9;22;2.63;1;Address 204;80331;Solar
2023-01-09;12:00:00;4.2;10.4;12;0.25;0;Address 205;38775;Gas
2023-01-09;13:00:00;6.0;10.4;12;0.26;0;Address 206;38751;Solar
2023-01-09;14:00:00;14.8;13.0;12;0.28;0;Address 207;44983;Electricity
2023-01-09;15:00:00;22.4;22.2;22;1.72;1;Address 208;67697;Solar
2023-01-09;16:00:00;1.1;12.6;12;0.26;0;Address 209;35569;Solar
2023-01-09;17:00:00;7.2;23.0;22;2.56;1;Address 210;95168;Electricity
2023-01-09;18:00:00;4.8;21.1;22;1.54;1;Address 211;77710;Electricity
2023-01-09;19:00:00;1.4;21.6;22;2.57;1;Address 212;65606;Solar
2023-01-09;20:00:00;2.3;22.7;22;2.53;1;Address 213;18746;Gas
2023-01-09;21:00:00;9.4;12.0;12;0.11;0;Address 214;94122;Electricity
2023-01-09;22:00:00;0.8;21.8;22;2.99;1;Address 215;25236;Gas
2023-01-09;23:00:00;7.2;11.2;12;0.2;0;Address 216;87352;Gas
2023-01-10;00:00:00;16.4;22.0;22;2.36;1;Address 217;53038;Electricity
2023-01-10;01:00:00;6.2;22.3;22;1.88;1;Address 218;37239;Electricity
2023-01-10;02:00:00;14.2;11.1;12;0.33;0;Address 219;92289;Solar
2023-01-10;03:00:00;27.2;22.4;22;1.64;1;Address 220;27309;Solar
2023-01-10;04:00:00;22.6;10.8;12;0.12;0;Address 221;77296;Electricity
2023-01-10;05:00:00;8.9;11.6;12;0.49;0;Address 222;83148;Gas
2023-01-10;06:00:00;-1.8;10.2;12;0.36;0;Address 223;14781;Electricity
2023-01-10;07:00:00;21.3;21.2;22;1.61;1;Address 224;13395;Electricity
2023-01-10;08:00:00;1.1;12.7;12;0.37;0;Address 225;71017;Electricity
2023-01-10;09:00:00;11.2;11.9;12;0.21;0;Address 226;59667;Electricity
2023-01-10;10:00:00;1.5;21.8;22;2.29;1;Address 227;96982;Solar
2023-01-10;11:00:00;16.2;11.1;12;0.48;0;Address 228;71813;Electricity
2023-01-10;12:00:00;28.1;22.3;22;2.21;1;Address 229;82205;Gas
2023-01-10;13:00:00;-2.0;21.1;22;2.67;1;Address 230;72367;Gas
2023-01-10;14:00:00;14.9;12.0;12;0.11;0;Address 231;80203;Gas
2023-01-10;15:00:00;7.4;10.5;12;0.14;0;Address 232;76605;Gas
2023-01-10;16:00:00;26.4;21.7;22;1.83;1;Address 233;81261;Solar
2023-01-10;17:00:00;-4.5;12.4;12;0.31;0;Address 234;69703;Gas
2023-01-10;18:00:00;-1.6;12.9;12;0.45;0;Address 235;44867;Electricity
2023-01-10;19:00:00;5.2;11.3;12;0.27;0;Address 236;16217;Electricity
2023-01-10;20:00:00;16.0;12.2;12;0.31;0;Address 237;84322;Electricity
2023-01-10;21:00:00;9.0;12.6;12;0.27;0;Address 238;68179;Solar
2023-01-10;22:00:00;9.9;22.9;22;2.47;1;Address 239;58525;Gas
2023-01-10;23:00:00;19.0;22.8;22;1.56;1;Address 240;89715;Electricity
2023-01-11;00:00:00;19.7;11.3;12;0.36;0;Address 241;81799;Electricity
2023-01-11;01:00:00;6.5;10.2;12;0.24;0;Address 242;87121;Solar
2023-01-11;02:00:00;11.2;12.5;12;0.41;0;Address 243;78690;Electricity
2023-01-11;03:00:00;18.2;22.8;22;2.5;1;Address 244;92634;Gas
2023-01-11;04:00:00;23.9;22.4;22;1.62;1;Address 245;13895;Solar
2023-01-11;05:00:00;8.2;11.7;12;0.41;0;Address 246;89179;Solar
2023-01-11;06:00:00;14.9;10.9;12;0.2;0;Address 247;53508;Gas
2023-01-11;07:00:00;17.2;21.5;22;2.87;1;Address 248;21117;Electricity
2023-01-11;08:00:00;2.5;22.5;22;2.55;1;Address 249;80645;Gas
2023-01-11;09:00:00;26.3;22.6;22;1.94;1;Address 250;15972;Electricity
2023-01-11;10:00:00;22.7;21.3;22;2.57;1;Address 251;96759;Gas
2023-01-11;11:00:00;1.4;11.6;12;0.15;0;Address 252;93770;Solar
2023-01-11;12:00:00;17.6;22.2;22;2.93;1;Address 253;43890;Gas
2023-01-11;13:00:00;3.5;22.5;22;1.98;1;Address 254;15338;Electricity
2023-01-11;14:00:00;5.0;12.5;12;0.29;0;Address 255;33846;Electricity
2023-01-11;15:00:00;16.7;22.6;22;2.48;1;Address 256;96698;Gas
2023-01-11;16:00:00;5.4;21.4;22;1.97;1;Address 257;59650;Gas
2023-01-11;17:00:00;28.8;10.0;12;0.33;0;Address 258;92072;Electricity
2023-01-11;18:00:00;22.4;11.5;12;0.4;0;Address 259;52250;Gas
2023-01-11;19:00:00;2.9;11.2;12;0.3;0;Address 260;10472;Solar
2023-01-11;20:00:00;7.1;12.7;12;0.12;0;Address 261;51352;Gas
2023-01-11;21:00:00;16.3;11.2;12;0.24;0;Address 262;89705;Electricity
2023-01-11;22:00:00;28.6;12.6;12;0.12;0;Address 263;62358;Electricity
2023-01-11;23:00:00;3.8;10.8;12;0.19;0;Address 264;23739;Solar
2023-01-12;00:00:00;7.1;10.9;12;0.34;0;Address 265;80319;Solar
2023-01-12;01:00:00;-5.0;12.4;12;0.31;0;Address 266;50558;Electricity
2023-01-12;02:00:00;12.6;22.8;22;2.14;1;Address 267;47196;Solar
2023-01-12;03:00:00;16.3;12.2;12;0.15;0;Address 268;51039;Solar
2023-01-12;04:00:00;26.5;11.5;12;0.13;0;Address 269;28876;Electricity
2023-01-12;05:00:00;4.5;12.2;12;0.38;0;Address 270;54987;Solar
2023-01-12;06:00:00;12.1;21.9;22;1.87;1;Address 271;61390;Electricity
2023-01-12;07:00:00;27.0;21.5;22;2.91;1;Address 272;27660;Solar
2023-01-12;08:00:00;18.7;10.8;12;0.43;0;Address 273;38183;Electricity
2023-01-12;09:00:00;0.3;10.5;12;0.17;0;Address 274;89293;Gas
2023-01-12;10:00:00;17.8;10.6;12;0.29;0;Address 275;70653;Gas
2023-01-12;11:00:00;2.9;22.0;22;2.16;1;Address 276;97252;Gas
2023-01-12;12:00:00;9.0;10.4;12;0.48;0;Address 277;55106;Solar
2023-01-12;13:00:00;4.5;12.7;12;0.45;0;Address 278;61114;Gas
2023-01-12;14:00:00;23.7;11.1;12;0.48;0;Address 279;21807;Electricity
2023-01-12;15:00:00;0.7;22.4;22;2.01;1;Address 280;85424;Gas
2023-01-12;16:00:00;27.4;21.8;22;2.24;1;Address 281;37418;Gas
2023-01-12;17:00:00;7.9;13.0;12;0.41;0;Address 282;30556;Solar
2023-01-12;18:00:00;27.7;22.2;22;2.06;1;Address 283;18024;Gas
2023-01-12;19:00:00;9.9;10.4;12;0.41;0;Address 284;58970;Gas
2023-01-12;20:00:00;26.1;21.4;22;1.51;1;Address 285;89932;Solar
2023-01-12;21:00:00;-2.1;12.5;12;0.17;0;Address 286;48988;Solar
2023-01-12;22:00:00;8.5;12.5;12;0.48;0;Address 287;39715;Electricity
2023-01-12;23:00:00;29.4;22.0;22;2.4;1;Address 288;36831;Electricity
2023-01-13;00:00:00;5.3;22.0;22;1.84;1;Address 289;45751;Electricity
2023-01-13;01:00:00;13.3;21.3;22;2.55;1;Address 290;29201;Solar
2023-01-13;02:00:00;9.0;12.0;12;0.13;0;Address 291;96352;Gas
2023-01-13;03:00:00;26.3;22.9;22;1.52;1;Address 292;35502;Gas
2023-01-13;04:00:00;14.3;10.5;12;0.26;0;Address 293;74180;Solar
2023-01-13;05:00:00;28.9;21.1;22;2.6;1;Address 294;81456;Electricity
2023-01-13;06:00:00;6.7;12.9;12;0.42;0;Address 295;73775;Electricity
2023-01-13;07:00:00;17.4;22.2;22;2.95;1;Address 296;30765;Solar
2023-01-13;08:00:00;24.5;11.4;12;0.47;0;Address 297;44283;Electricity
2023-01-13;09:00:00;9.7;22.4;22;2.07;1;Address 298;41458;Gas
2023-01-13;10:00:00;-1.6;12.0;12;0.16;0;Address 299;78297;Gas
2023-01-13;11:00:00;-2.4;22.4;22;2.43;1;Address 300;21589;Electricity
2023-01-13;12:00:00;27.0;11.9;12;0.22;0;Address 301;41860;Electricity
2023-01-13;13:00:00;-3.8;12.6;12;0.29;0;Address 302;26829;Solar
2023-01-13;14:00:00;13.9;10.4;12;0.13;0;Address 303;92145;Gas
2023-01-13;15:00:00;-3.3;12.7;12;0.5;0;Address 304;69748;Gas
2023-01-13;16:00:00;3.7;10.0;12;0.15;0;Address 305;93165;Electricity
2023-01-13;17:00:00;6.6;22.1;22;1.59;1;Address 306;67315;Electricity
2023-01-13;18:00:00;24.5;22.1;22;1.51;1;Address 307;27618;Electricity
2023-01-13;19:00:00;11.5;23.0;22;1.65;1;Address 308;88898;Solar
2023-01-13;20:00:00;25.2;21.7;22;2.61;1;Address 309;79723;Solar
2023-01-13;21:00:00;27.5;21.2;22;1.81;1;Address 310;23194;Solar
2023-01-13;22:00:00;5.6;11.3;12;0.22;0;Address 311;88477;Solar
2023-01-13;23:00:00;8.4;12.6;12;0.22;0;Address 312;80183;Solar
2023-01-14;00:00:00;8.7;11.2;12;0.44;0;Address 313;17362;Electricity
2023-01-14;01:00:00;5.3;12.6;12;0.13;0;Address 314;40360;Solar
2023-01-14;02:00:00;23.7;22.5;22;1.77;1;Address 315;43591;Electricity
2023-01-14;03:00:00;21.3;21.5;22;2.17;1;Address 316;30798;Electricity
2023-01-14;04:00:00;-2.0;12.3;12;0.12;0;Address 317;16452;Gas
2023-01-14;05:00:00;4.8;22.5;22;2.85;1;Address 318;39049;Gas
2023-01-14;06:00:00;-0.1;23.0;22;1.63;1;Address 319;96753;Gas
2023-01-14;07:00:00;12.4;22.1;22;2.12;1;Address 320;87747;Gas
2023-01-14;08:00:00;6.5;10.8;12;0.35;0;Address 321;88836;Electricity
2023-01-14;09:00:00;-1.6;10.1;12;0.34;0;Address 322;39068;Gas
2023-01-14;10:00:00;4.4;22.8;22;2.29;1;Address 323;40012;Gas
2023-01-14;11:00:00;-0.5;22.6;22;1.78;1;Address 324;30505;Electricity
2023-01-14;12:00:00;-4.0;11.3;12;0.22;0;Address 325;25101;Solar
2023-01-14;13:00:00;13.2;21.3;22;2.97;1;Address 326;12515;Electricity
2023-01-14;14:00:00;11.1;22.1;22;2.41;1;Address 327;98986;Electricity
2023-01-14;15:00:00;5.2;21.1;22;1.57;1;Address 328;59658;Solar
2023-01-14;16:00:00;12.7;12.0;12;0.38;0;Address 329;26632;Gas
2023-01-14;17:00:00;27.0;12.2;12;0.37;0;Address 330;91880;Solar
2023-01-14;18:00:00;23.7;21.2;22;2.84;1;Address 331;28330;Gas
2023-01-14;19:00:00;14.4;11.5;12;0.3;0;Address 332;62487;Electricity
2023-01-14;20:00:00;26.5;21.2;22;2.02;1;Address 333;35969;Gas
